"ID","Sigla","Comuna","Votacion"
26,"PRSD","CAMIÑA",0
26,"PS","CAMIÑA",47
26,"RD","CAMIÑA",0
26,"RN","CAMIÑA",545
26,"UDI","CAMIÑA",223
26,"UP","CAMIÑA",0
27,"AMP","CANELA",0
27,"DC","CANELA",608
27,"DEMOREGIONAL","CANELA",0
27,"ECO","CANELA",0
27,"EVO","CANELA",516
27,"FRNV","CANELA",166
27,"FRVS","CANELA",46
27,"IC","CANELA",0
27,"IGUALDAD","CANELA",374
27,"INDEP","CANELA",0
27,"MAS","CANELA",0
27,"PC","CANELA",1410
27,"PH","CANELA",0
27,"PL","CANELA",0
27,"PODER","CANELA",0
27,"PPD","CANELA",459
27,"PRI","CANELA",158
27,"PRO","CANELA",0
27,"PRSD","CANELA",610
27,"PS","CANELA",292
27,"RD","CANELA",0
27,"RN","CANELA",181
27,"UDI","CANELA",316
27,"UP","CANELA",0
28,"AMP","CAÑETE",0
28,"DC","CAÑETE",1098
28,"DEMOREGIONAL","CAÑETE",0
28,"ECO","CAÑETE",0
28,"EVO","CAÑETE",0
28,"FRNV","CAÑETE",0
28,"FRVS","CAÑETE",0
28,"IC","CAÑETE",0
28,"IGUALDAD","CAÑETE",0
28,"INDEP","CAÑETE",0
28,"MAS","CAÑETE",284
28,"PC","CAÑETE",549
28,"PH","CAÑETE",0
28,"PL","CAÑETE",0
28,"PODER","CAÑETE",0
28,"PPD","CAÑETE",451
28,"PRI","CAÑETE",0
28,"PRO","CAÑETE",146
28,"PRSD","CAÑETE",2596
28,"PS","CAÑETE",1268
28,"RD","CAÑETE",0
28,"RN","CAÑETE",1828
28,"UDI","CAÑETE",3655
28,"UP","CAÑETE",0
29,"AMP","CARAHUE",89
29,"DC","CARAHUE",1229
29,"DEMOREGIONAL","CARAHUE",0
29,"ECO","CARAHUE",0
29,"EVO","CARAHUE",0
29,"FRNV","CARAHUE",0
29,"FRVS","CARAHUE",0
29,"IC","CARAHUE",0
29,"IGUALDAD","CARAHUE",0
29,"INDEP","CARAHUE",0
29,"MAS","CARAHUE",0
29,"PC","CARAHUE",459
29,"PH","CARAHUE",0
29,"PL","CARAHUE",0
29,"PODER","CARAHUE",0
29,"PPD","CARAHUE",2850
29,"PRI","CARAHUE",0
29,"PRO","CARAHUE",391
29,"PRSD","CARAHUE",2284
29,"PS","CARAHUE",382
29,"RD","CARAHUE",0
29,"RN","CARAHUE",2213
29,"UDI","CARAHUE",1319
29,"UP","CARAHUE",0
30,"AMP","CARTAGENA",552
30,"DC","CARTAGENA",998
30,"DEMOREGIONAL","CARTAGENA",0
30,"ECO","CARTAGENA",0
30,"EVO","CARTAGENA",0
30,"FRNV","CARTAGENA",0
30,"FRVS","CARTAGENA",0
30,"IC","CARTAGENA",0
30,"IGUALDAD","CARTAGENA",0
30,"INDEP","CARTAGENA",0
30,"MAS","CARTAGENA",0
30,"PC","CARTAGENA",441
30,"PH","CARTAGENA",610
30,"PL","CARTAGENA",0
30,"PODER","CARTAGENA",0
30,"PPD","CARTAGENA",1406
30,"PRI","CARTAGENA",0
30,"PRO","CARTAGENA",27
30,"PRSD","CARTAGENA",639
30,"PS","CARTAGENA",326
30,"RD","CARTAGENA",0
30,"RN","CARTAGENA",962
30,"UDI","CARTAGENA",1405
30,"UP","CARTAGENA",0
31,"AMP","CASABLANCA",315
31,"DC","CASABLANCA",445
31,"DEMOREGIONAL","CASABLANCA",0
31,"ECO","CASABLANCA",0
31,"EVO","CASABLANCA",0
31,"FRNV","CASABLANCA",0
31,"FRVS","CASABLANCA",0
31,"IC","CASABLANCA",0
31,"IGUALDAD","CASABLANCA",0
31,"INDEP","CASABLANCA",736
31,"MAS","CASABLANCA",0
31,"PC","CASABLANCA",1035
31,"PH","CASABLANCA",0
31,"PL","CASABLANCA",0
31,"PODER","CASABLANCA",0
31,"PPD","CASABLANCA",954
31,"PRI","CASABLANCA",0
31,"PRO","CASABLANCA",0
31,"PRSD","CASABLANCA",0
31,"PS","CASABLANCA",1779
31,"RD","CASABLANCA",0
31,"RN","CASABLANCA",1756
31,"UDI","CASABLANCA",1947
31,"UP","CASABLANCA",0
32,"AMP","CASTRO",0
32,"DC","CASTRO",1718
32,"DEMOREGIONAL","CASTRO",105
32,"ECO","CASTRO",754
32,"EVO","CASTRO",0
32,"FRNV","CASTRO",0
32,"FRVS","CASTRO",0
32,"IC","CASTRO",0
32,"IGUALDAD","CASTRO",0
32,"INDEP","CASTRO",0
32,"MAS","CASTRO",0
32,"PC","CASTRO",2334
32,"PH","CASTRO",0
32,"PL","CASTRO",0
32,"PODER","CASTRO",0
32,"PPD","CASTRO",724
32,"PRI","CASTRO",101
32,"PRO","CASTRO",0
32,"PRSD","CASTRO",833
32,"PS","CASTRO",2295
32,"RD","CASTRO",0
32,"RN","CASTRO",2112
32,"UDI","CASTRO",1621
32,"UP","CASTRO",0
33,"AMP","CATEMU",0
33,"DC","CATEMU",348
33,"DEMOREGIONAL","CATEMU",0
33,"ECO","CATEMU",0
33,"EVO","CATEMU",62
33,"FRNV","CATEMU",0
33,"FRVS","CATEMU",0
33,"IC","CATEMU",0
33,"IGUALDAD","CATEMU",0
33,"INDEP","CATEMU",0
33,"MAS","CATEMU",0
33,"PC","CATEMU",488
33,"PH","CATEMU",0
33,"PL","CATEMU",0
33,"PODER","CATEMU",0
33,"PPD","CATEMU",292
33,"PRI","CATEMU",255
33,"PRO","CATEMU",211
33,"PRSD","CATEMU",321
33,"PS","CATEMU",838
33,"RD","CATEMU",0
33,"RN","CATEMU",2007
33,"UDI","CATEMU",513
33,"UP","CATEMU",0
34,"AMP","CAUQUENES",0
34,"DC","CAUQUENES",2849
34,"DEMOREGIONAL","CAUQUENES",0
34,"ECO","CAUQUENES",0
34,"EVO","CAUQUENES",171
34,"FRNV","CAUQUENES",0
34,"FRVS","CAUQUENES",0
34,"IC","CAUQUENES",0
34,"IGUALDAD","CAUQUENES",0
34,"INDEP","CAUQUENES",0
34,"MAS","CAUQUENES",0
34,"PC","CAUQUENES",989
34,"PH","CAUQUENES",0
34,"PL","CAUQUENES",0
34,"PODER","CAUQUENES",0
34,"PPD","CAUQUENES",1197
34,"PRI","CAUQUENES",171
34,"PRO","CAUQUENES",1131
